gs1,gs2,gr,avg_cal,max_cal,avg_cagr
rev_z,gp_growth_z,0.1,0.6245625,2.865,31.0115
rev_z,gp_growth_z,0.9,0.6052625,2.884,29.532999999999998
oca_z,gp_growth_z,0.2,0.6001125,2.864,32.208999999999996
rev_z,op_margin_z,0.9,0.5945750000000001,2.988,29.012375000000002
oca_z,rev_accel_z,0.8,0.5878,1.774,33.71575
rev_z,op_margin_z,0.2,0.5664374999999999,1.603,31.623
oca_z,cfo_growth_z,0.7,0.5628375,2.03,33.665625
oca_z,op_margin_z,0.2,0.5622125,2.013,30.568
rev_z,op_margin_z,1.0,0.547825,3.017,27.039375
rev_z,oca_z,1.0,0.547825,3.017,27.039375
rev_z,cfo_growth_z,1.0,0.547825,3.017,27.039375
rev_z,gp_growth_z,1.0,0.547825,3.017,27.039375
rev_z,rev_accel_z,1.0,0.547825,3.017,27.039375
rev_z,rev_accel_z,0.9,0.525825,2.172,26.0505
rev_z,op_margin_z,0.1,0.5217125,1.681,28.90075
oca_z,gp_growth_z,0.1,0.516875,2.231,27.416625
oca_z,cfo_growth_z,0.6,0.5162375,1.783,30.517374999999998
oca_z,rev_accel_z,0.7,0.495725,1.733,28.262
oca_z,cfo_growth_z,0.4,0.4872875,2.369,27.958499999999997
oca_z,cfo_growth_z,0.5,0.487275,1.748,28.676499999999997
gp_growth_z,op_margin_z,0.7,0.4785125,1.924,27.336624999999998
gp_growth_z,op_margin_z,0.5,0.47555,1.352,28.491750000000003
oca_z,gp_growth_z,0.0,0.465375,1.669,24.916999999999998
rev_accel_z,gp_growth_z,0.0,0.465375,1.669,24.916999999999998
gp_growth_z,op_margin_z,1.0,0.465375,1.669,24.916999999999998
rev_z,gp_growth_z,0.0,0.465375,1.669,24.916999999999998
gp_growth_z,cfo_growth_z,1.0,0.465375,1.669,24.916999999999998
oca_z,op_margin_z,0.1,0.4556125,1.53,25.679250000000003
gp_growth_z,op_margin_z,0.6,0.45467500000000005,1.412,27.11375
gp_growth_z,op_margin_z,0.9,0.4514,2.126,25.29675
gp_growth_z,op_margin_z,0.8,0.45048750000000004,1.745,25.954874999999998
gp_growth_z,op_margin_z,0.4,0.437825,1.651,25.835
op_margin_z,cfo_growth_z,0.9,0.4368,1.697,24.78575
rev_z,rev_accel_z,0.8,0.43657500000000005,2.101,23.89975
oca_z,rev_accel_z,0.6,0.42622499999999997,1.668,23.75375
gp_growth_z,op_margin_z,0.2,0.42560000000000003,1.608,24.549875
rev_z,cfo_growth_z,0.9,0.42555,3.199,22.94775
gp_growth_z,op_margin_z,0.3,0.42188749999999997,1.474,24.518625
op_margin_z,cfo_growth_z,0.8,0.4156375,1.719,24.056375
gp_growth_z,op_margin_z,0.1,0.41517499999999996,1.505,23.50775
rev_z,op_margin_z,0.0,0.40279999999999994,1.988,22.580000000000002
rev_accel_z,op_margin_z,0.0,0.40279999999999994,1.988,22.580000000000002
gp_growth_z,op_margin_z,0.0,0.40279999999999994,1.988,22.580000000000002
oca_z,op_margin_z,0.0,0.40279999999999994,1.988,22.580000000000002
op_margin_z,cfo_growth_z,1.0,0.40279999999999994,1.988,22.580000000000002
oca_z,rev_accel_z,0.4,0.391475,1.503,21.408250000000002
rev_accel_z,op_margin_z,0.1,0.3855375,1.432,20.75
gp_growth_z,cfo_growth_z,0.8,0.3837125,1.452,22.358875
oca_z,rev_accel_z,0.5,0.3828875,1.498,21.50875
rev_accel_z,op_margin_z,0.2,0.3826625,2.16,20.083375
rev_z,rev_accel_z,0.4,0.37435,1.358,20.208375
rev_z,rev_accel_z,0.7,0.37277499999999997,1.237,21.945375000000002
rev_accel_z,gp_growth_z,0.1,0.37112500000000004,1.587,20.150375
op_margin_z,cfo_growth_z,0.6,0.359575,1.519,20.883875
rev_accel_z,gp_growth_z,0.5,0.35896249999999996,1.511,19.8095
gp_growth_z,cfo_growth_z,0.9,0.355925,1.396,20.526875
op_margin_z,cfo_growth_z,0.7,0.3553375,1.354,20.785375
rev_accel_z,gp_growth_z,0.6,0.351725,1.704,18.441
rev_z,rev_accel_z,0.6,0.3510375,1.381,20.045875000000002
rev_accel_z,gp_growth_z,0.2,0.33686249999999995,1.539,18.25725
rev_accel_z,gp_growth_z,0.4,0.336775,1.155,18.822625
rev_z,rev_accel_z,0.3,0.33235000000000003,1.854,17.44475
rev_z,rev_accel_z,0.5,0.3293875,1.427,18.596625
rev_accel_z,gp_growth_z,0.3,0.323325,1.35,17.72975
rev_accel_z,op_margin_z,0.3,0.3184875,1.711,17.21825
rev_z,cfo_growth_z,0.8,0.3174,1.207,18.9695
oca_z,rev_accel_z,0.3,0.3133,1.479,16.964374999999997
oca_z,cfo_growth_z,0.3,0.288475,1.518,17.468375
op_margin_z,cfo_growth_z,0.5,0.2855375,1.334,17.000625
gp_growth_z,cfo_growth_z,0.7,0.281325,1.36,17.099375000000002
rev_z,cfo_growth_z,0.7,0.27571249999999997,1.424,16.67425
rev_z,cfo_growth_z,0.6,0.2746625,1.884,16.767125
rev_accel_z,gp_growth_z,0.7,0.27305,1.624,14.307125
rev_z,rev_accel_z,0.2,0.2690625,1.613,13.867500000000001
op_margin_z,cfo_growth_z,0.4,0.254075,1.231,16.580000000000002
rev_z,cfo_growth_z,0.5,0.248075,1.532,15.524125000000002
rev_z,rev_accel_z,0.1,0.24725000000000003,1.512,11.512125000000001
rev_accel_z,gp_growth_z,0.9,0.2387375,1.528,11.456624999999999
rev_accel_z,op_margin_z,0.4,0.2265625,1.377,11.690999999999999
op_margin_z,cfo_growth_z,0.3,0.21935000000000002,1.54,13.623500000000002
oca_z,rev_accel_z,0.2,0.215675,1.192,11.616499999999998
rev_accel_z,gp_growth_z,0.8,0.2125625,1.202,10.8845
gp_growth_z,cfo_growth_z,0.6,0.2106875,1.28,12.71425
rev_accel_z,op_margin_z,0.9,0.19945,1.429,9.50875
oca_z,rev_accel_z,0.1,0.19805,1.129,9.814625000000001
oca_z,cfo_growth_z,0.2,0.1921,1.07,11.666875000000001
gp_growth_z,cfo_growth_z,0.5,0.191975,1.19,11.421625
rev_z,cfo_growth_z,0.4,0.190025,0.971,11.661375000000001
rev_accel_z,op_margin_z,0.5,0.182875,1.039,9.690875
rev_accel_z,op_margin_z,0.6,0.18009999999999998,1.181,9.588375000000001
rev_accel_z,op_margin_z,0.8,0.17695,1.142,8.651125
rev_accel_z,op_margin_z,1.0,0.1755,1.502,6.853750000000001
rev_accel_z,cfo_growth_z,1.0,0.1755,1.502,6.853750000000001
rev_z,rev_accel_z,0.0,0.1755,1.502,6.853750000000001
oca_z,rev_accel_z,0.0,0.1755,1.502,6.853750000000001
rev_accel_z,gp_growth_z,1.0,0.1755,1.502,6.853750000000001
rev_accel_z,cfo_growth_z,0.5,0.17422500000000002,1.173,9.167
rev_accel_z,op_margin_z,0.7,0.174125,1.387,8.6485
gp_growth_z,cfo_growth_z,0.4,0.162875,1.339,9.35825
op_margin_z,cfo_growth_z,0.2,0.1598125,1.33,8.8295
rev_z,cfo_growth_z,0.3,0.1486875,1.491,8.51
gp_growth_z,cfo_growth_z,0.3,0.14173750000000002,1.308,7.74525
op_margin_z,cfo_growth_z,0.1,0.1164625,1.202,5.92925
rev_accel_z,cfo_growth_z,0.6,0.1143125,0.924,6.06325
rev_z,cfo_growth_z,0.2,0.11374999999999999,1.362,6.118875
oca_z,cfo_growth_z,0.1,0.1119375,1.17,6.070125
gp_growth_z,cfo_growth_z,0.2,0.097525,1.379,4.7692499999999995
rev_accel_z,cfo_growth_z,0.9,0.09538749999999999,1.526,3.4120000000000004
rev_accel_z,cfo_growth_z,0.7,0.094375,1.154,4.692
gp_growth_z,cfo_growth_z,0.1,0.07973749999999999,1.176,3.4035
rev_accel_z,cfo_growth_z,0.4,0.0795875,1.035,3.789875
rev_accel_z,cfo_growth_z,0.8,0.0683625,1.298,2.5608750000000002
rev_z,cfo_growth_z,0.1,0.0565875,1.073,2.2445
rev_accel_z,cfo_growth_z,0.2,0.055762500000000007,1.136,2.277125
op_margin_z,cfo_growth_z,0.0,0.036975,1.187,0.7844999999999998
rev_accel_z,cfo_growth_z,0.0,0.036975,1.187,0.7844999999999998
oca_z,cfo_growth_z,0.0,0.036975,1.187,0.7844999999999998
rev_z,cfo_growth_z,0.0,0.036975,1.187,0.7844999999999998
gp_growth_z,cfo_growth_z,0.0,0.036975,1.187,0.7844999999999998
rev_accel_z,cfo_growth_z,0.3,0.028712500000000002,1.043,0.4079999999999998
rev_accel_z,cfo_growth_z,0.1,0.0030250000000000003,1.245,-1.448375
